Episode,Reward
1,0.3999999999999968
2,3.29999999999999
3,1.199999999999994
4,-1.2999999999999985
5,-0.40000000000000036
6,-0.5999999999999996
7,0.09999999999999787
8,0.29999999999999716
9,1.199999999999994
10,0.29999999999999716
11,0.49999999999999645
12,1.199999999999994
13,-0.3000000000000007
14,0.1999999999999975
15,-0.8999999999999986
16,-0.40000000000000036
17,-0.3000000000000007
18,0.5999999999999961
19,-0.3000000000000007
20,0.7999999999999954
21,0.29999999999999716
22,1.0999999999999943
23,-1.0999999999999983
24,1.199999999999994
25,0.09999999999999787
26,0.3999999999999968
27,0.29999999999999716
28,0.49999999999999645
29,0.1999999999999975
30,-0.10000000000000142
31,-1.799999999999999
32,-0.3000000000000007
33,0.899999999999995
34,0.6999999999999957
35,1.199999999999994
36,0.49999999999999645
37,-0.8999999999999986
38,1.199999999999994
39,0.3999999999999968
40,-0.40000000000000036
41,1.199999999999994
42,-1.7763568394002505e-15
43,0.5999999999999961
44,0.09999999999999787
45,2.8999999999999915
46,-0.20000000000000107
47,-0.10000000000000142
48,1.0999999999999943
49,1.199999999999994
50,1.199999999999994
51,1.199999999999994
52,0.29999999999999716
53,-0.3000000000000007
54,0.899999999999995
55,0.6999999999999957
56,0.9999999999999947
57,0.6999999999999957
58,-1.1999999999999984
59,-1.7763568394002505e-15
60,1.199999999999994
61,0.29999999999999716
62,1.0999999999999943
63,-0.6999999999999993
64,0.1999999999999975
65,-0.6999999999999993
66,-0.20000000000000107
67,-0.20000000000000107
68,-0.20000000000000107
69,1.199999999999994
70,0.7999999999999954
71,1.199999999999994
72,1.0999999999999943
73,0.29999999999999716
74,1.0999999999999943
75,0.3999999999999968
76,-1.0999999999999983
77,-0.40000000000000036
78,0.1999999999999975
79,-0.3000000000000007
80,-0.3000000000000007
81,1.199999999999994
82,-0.3000000000000007
83,1.199999999999994
84,-0.7999999999999989
85,1.199999999999994
86,-0.7999999999999989
87,0.29999999999999716
88,0.5999999999999961
89,-0.3000000000000007
90,0.49999999999999645
91,0.899999999999995
92,-0.3000000000000007
93,1.0999999999999943
94,1.199999999999994
95,0.7999999999999954
96,-0.5
97,0.5999999999999961
98,1.199999999999994
99,0.5999999999999961
100,1.199999999999994
